,,update_count,driving_time,routes
746,1003,2,0.0,"['14', '14']"
1003,1004,2,0.0,"['14', '14']"
1004,1005,2,0.0,"['14', '14']"
1005,758,2,1.0,"['14', '14']"
758,77,2,0.0,"['14', '14']"
77,1983,2,1.0,"['14', '14']"
1983,1006,2,0.0,"['14', '14']"
1006,1007,2,1.0,"['14', '14']"
1007,1008,2,0.0,"['14', '14']"
1008,1009,2,1.0,"['14', '14']"
1009,1010,2,0.0,"['14', '14']"
1010,612,2,1.0,"['14', '14']"
612,608,2,0.0,"['14', '14']"
608,611,2,1.0,"['14', '14']"
611,107,2,0.0,"['14', '14']"
107,605,2,1.0,"['14', '14']"
605,610,2,0.0,"['14', '14']"
610,609,2,1.0,"['14', '14']"
609,613,2,1.0,"['14', '14']"
613,615,2,1.0,"['14', '14']"
615,2143,2,0.0,"['14', '14']"
2143,1928,1,1.0,['14']
1928,2158,1,1.0,['14']
2158,2189,1,1.0,['14']
2189,2159,1,0.0,['14']
2159,617,1,1.0,['14']
617,175,1,1.0,['14']
175,179,1,0.0,['14']
179,182,1,1.0,['14']
182,188,1,0.0,['14']
188,191,1,1.0,['14']
191,616,1,1.0,['14']
616,2115,1,0.0,['14']
2115,2108,1,1.0,['14']
2108,1982,1,1.0,['14']
1982,2109,1,0.0,['14']
2109,2048,1,1.0,['14']
2048,2103,5,0.75,"['14', '34', '34', '94', '94']"
2103,2102,5,0.25,"['14', '34', '34', '94', '94']"
2102,2013,1,1.0,['14']
2013,2202,1,2.0,['14']
2202,2203,1,1.0,['14']
