,,update_count,driving_time,routes,avg_delay
138,165,6,1.4000000000000001,"['14', '14', '14', '14R', '14R', '14R']",0.0
165,174,6,1.2866666666666668,"['14', '14', '14', '14R', '14R', '14R']",0.0
174,640,3,1.55,"['14', '14', '14']",4.252777777777777
640,186,3,1.4083333333333332,"['14', '14', '14']",4.321621621621622
186,641,3,1.375,"['14', '14', '14']",4.3
641,654,6,1.5900000000000003,"['14', '14', '14', '14R', '14R', '14R']",0.0
654,17,5,0.9083333333333334,"['14', '14', '14', '49', '49']",0.4147540983606557
17,635,5,2.2208333333333337,"['14', '14', '14', '49', '49']",0.17049180327868846
635,32,5,1.7458333333333336,"['14', '14', '14', '49', '49']",0.0
32,51,6,1.5533333333333337,"['14', '14', '14', '33', '49', '49']",0.17936507936507934
51,637,5,1.8625,"['14', '14', '14', '49', '49']",0.21428571428571427
637,638,5,1.5583333333333336,"['14', '14', '14', '49', '49']",0.21746031746031746
638,93,5,1.7541666666666669,"['14', '14', '14', '49', '49']",0.5206349206349207
93,320,5,1.8500000000000003,"['14', '14', '14', '49', '49']",0.5640625
320,652,5,2.1166666666666667,"['14', '14', '14', '49', '49']",0.4476190476190476
652,114,9,1.3166666666666667,"['14', '14', '14', '36', '36', '36', '36', '49', '49']",0.5095238095238096
114,321,5,0.9333333333333333,"['14', '14', '14', '49', '49']",1.0968253968253967
321,647,5,0.7916666666666666,"['14', '14', '14', '49', '49']",1.0476190476190477
647,253,8,1.1214285714285714,"['14', '14', '14', '23', '23', '23', '49', '49']",1.0746031746031743
253,140,5,0.6083333333333334,"['14', '14', '14', '49', '49']",0.8539682539682539
140,602,5,0.8916666666666667,"['14', '14', '14', '49', '49']",0.49062500000000003
602,653,8,0.9619047619047618,"['14', '14', '14', '44', '49', '49', '52', '52']",1.2444444444444445
653,416,7,1.6055555555555556,"['14', '14', '14', '49', '49', '52', '52']",1.3722222222222222
416,709,5,1.6583333333333334,"['14', '14', '14', '49', '49']",0.28095238095238095
709,651,3,1.0416666666666667,"['14', '14', '14']",5.66578947368421
651,648,3,1.1083333333333334,"['14', '14', '14']",5.663157894736842
648,496,3,1.4083333333333332,"['14', '14', '14']",5.684210526315789
496,643,3,0.8833333333333333,"['14', '14', '14']",6.163157894736842
643,646,3,1.0,"['14', '14', '14']",6.436842105263158
646,649,3,1.1166666666666667,"['14', '14', '14']",6.133333333333333
649,650,3,0.7166666666666667,"['14', '14', '14']",6.561538461538461
650,642,3,0.8833333333333333,"['14', '14', '14']",4.010714285714285
642,644,6,1.3300000000000003,"['14', '14', '14', '14R', '14R', '14R']",1.275
644,645,6,0.6266666666666667,"['14', '14', '14', '14R', '14R', '14R']",1.9461538461538461
645,644,4,1.1333333333333333,"['14', '14', '14R', '14R']",
644,642,4,1.9500000000000002,"['14', '14', '14R', '14R']",
642,650,2,0.65,"['14', '14']",1.7999999999999998
650,649,2,1.0,"['14', '14']",1.493103448275862
649,643,2,1.0833333333333333,"['14', '14']",1.5689655172413792
643,496,2,1.2666666666666666,"['14', '14']",1.7966666666666666
496,648,2,0.9666666666666667,"['14', '14']",1.5799999999999998
648,651,2,1.3666666666666667,"['14', '14']",1.1433333333333333
651,709,2,0.9166666666666666,"['14', '14']",1.8
709,416,5,1.6166666666666667,"['14', '14', '49', '49', '49']",1.4383333333333332
416,653,8,1.4071428571428573,"['14', '14', '49', '49', '49', '52', '52', '52']",1.3526315789473684
653,602,12,0.884848484848485,"['14', '14', '44', '44', '44', '44', '49', '49', '49', '52', '52', '52']",1.2894736842105263
602,253,5,1.8833333333333333,"['14', '14', '49', '49', '49']",0.7360655737704918
253,647,5,0.9833333333333333,"['14', '14', '49', '49', '49']",1.2467741935483871
647,321,5,0.6333333333333333,"['14', '14', '49', '49', '49']",1.457142857142857
321,114,8,0.9785714285714286,"['14', '14', '49', '49', '49', 'J', 'J', 'J']",1.244
114,652,6,2.756666666666667,"['14', '14', '36', '49', '49', '49']",0.6825396825396826
320,93,5,1.3125,"['14', '14', '49', '49', '49']",0.7770491803278688
93,638,5,1.9333333333333336,"['14', '14', '49', '49', '49']",1.0566666666666666
638,637,5,1.8291666666666668,"['14', '14', '49', '49', '49']",0.935
637,51,5,1.9666666666666668,"['14', '14', '49', '49', '49']",1.1366666666666667
51,32,9,1.560416666666667,"['14', '14', '33', '33', '33', '33', '49', '49', '49']",1.235
32,635,5,2.2416666666666667,"['14', '14', '49', '49', '49']",1.4550000000000003
635,17,5,1.1916666666666669,"['14', '14', '49', '49', '49']",1.7409836065573772
17,654,2,1.95,"['14', '14']",2.8653846153846154
654,634,2,1.35,"['14', '14']",3.5807692307692305
634,641,4,1.511111111111111,"['14', '14', '14R', '14R']",
641,186,2,1.25,"['14', '14']",3.9384615384615387
186,640,2,1.3166666666666667,"['14', '14']",5.770370370370371
640,174,2,1.4,"['14', '14']",5.855555555555555
174,165,4,1.7944444444444447,"['14', '14', '14R', '14R']",
165,138,4,1.6833333333333336,"['14', '14', '14R', '14R']",
138,639,4,1.2333333333333334,"['14', '14', '14R', '14R']",
639,636,4,2.1777777777777776,"['14', '14', '14R', '14R']",
636,244,31,1.7122222222222223,"['14', '14', '14R', '14R', '2', '2', '2', '38R', '38R', '5', '5', '5R', '5R', '6', '7', '7', '7', '9', '9', '9', '9', '9R', '9R', 'F', 'KBUS', 'KBUS', 'NBUS', 'NBUS', 'NBUS', 'NOWL', 'NOWL']",
244,395,22,1.3626984126984125,"['14', '14', '14R', '14R', '2', '2', '2', '6', '9', '9', '9', '9', '9R', '9R', 'F', 'KBUS', 'KBUS', 'NBUS', 'NBUS', 'NBUS', 'NOWL', 'NOWL']",
174,641,4,2.9666666666666672,"['14R', '14R', '14R', '714']",
654,32,3,4.5,"['14R', '14R', '14R']",0.0
32,637,3,2.8,"['14R', '14R', '14R']",0.0
