,index,stop_id,stop_code,stop_name,stop_lat,stop_lon,zone_id,stop_desc,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding,platform_code,geometry,closest_hospital_distance,closest_grocery_distance,closest_park_distance,closest_bar_distance,closest_worship_distance,closest_mcdonalds_distance,closest_starbucks_distance,nearby_stops,near_hospital,near_grocery,near_park,near_bar,near_worship,near_mcdonalds,near_starbucks,total_population,white_population,black_population,asian_population,total_housing_units,owner_occupied_units,rentor_occupied_units,population_over_age_25,has_bachelors_degree,has_masters_degree,has_professional_degree,state,county,tract,block group,has_doctorate,total_income_known,income_to_poverty_above_200,vehicles,total_population_percent,white_population_percent,black_population_percent,asian_population_percent,total_housing_units_percent,owner_occupied_units_percent,rentor_occupied_units_percent,population_over_age_25_percent,has_bachelors_degree_percent,has_masters_degree_percent,has_professional_degree_percent,has_doctorate_percent,total_income_known_percent,income_to_poverty_above_200_percent,vehicles_percent,less_than_a_bachelors_degree,less_than_a_bachelors_degree_percent,income_to_poverty_under_200,income_to_poverty_under_200_percent,routes
22,42,13270,13270,15th Ave & West Portal Ave,37.736387,-122.470381,,,https://www.sfmta.com/13270,,,,0,,POINT (-122.470381 37.736387),3309.967494150267,381.3899785974676,1097.4234536557249,323.14977983869,637.8520008806989,1104.4811918325108,502.58409365904026,"['13270', '16508', '16507', '16899', '17205']",False,True,False,True,False,False,False,392,264,30,38,151,151,0,292,206,45,41,6,75,30800,3,0,392,279,348.0,1.0,0.673469387755102,0.0765306122448979,0.096938775510204,1.0,1.0,0.0,1.0,0.7054794520547946,0.1541095890410959,0.1404109589041096,0.0,1.0,0.7117346938775511,0.8877551020408163,0,0.0,113,0.288265306122449,"{""'10455800'""}"
23,43,13614,13614,164 Addison  St,37.738172,-122.432807,,,https://www.sfmta.com/13614,,,,0,,POINT (-122.432807 37.738172),3685.939795565516,297.9213885331544,722.4694623025861,367.0724487167993,623.960604766457,2968.350202966656,1437.8742077928446,"['13614', '15634', '14382', '14579']",False,True,False,True,False,False,False,1582,824,288,246,700,373,327,1217,330,335,146,6,75,21700,3,18,1541,1230,982.0,1.0,0.5208596713021492,0.1820480404551201,0.1554993678887484,1.0,0.5328571428571428,0.4671428571428571,1.0,0.2711585866885784,0.2752670501232539,0.1199671322925226,0.0147904683648315,1.0,0.7981829980532122,0.6207332490518331,388,0.3188167625308135,311,0.2018170019467878,"{""'10455800'""}"
24,44,14796,14796,1650 Geneva Ave,37.71174,-122.42829,,,https://www.sfmta.com/14796,,,,0,,POINT (-122.42829 37.71174),6522.778679331046,1571.9093089505182,1992.0404498468788,945.4999399919576,774.4986458056572,1538.7169793372927,4400.437683248814,"['14796', '14795']",False,False,False,False,False,False,False,2611,356,168,1888,918,685,233,2182,419,77,41,6,75,26302,3,24,2583,1839,1625.0,1.0,0.1363462274990425,0.064343163538874,0.723094599770203,1.0,0.7461873638344226,0.2538126361655773,1.0,0.192025664527956,0.035288725939505,0.0187901008249312,0.0109990834097158,1.0,0.7119628339140535,0.62236690923018,1697,0.7777268560953254,744,0.2880371660859466,"{""'10455800'""}"
25,46,13188,13188,1697 7th Ave,37.756597,-122.463741,,,https://www.sfmta.com/13188,,,,0,,POINT (-122.463741 37.756597),1006.4171164148612,1834.3706731593225,2780.3824668686475,808.4776700535657,1474.137652725594,3460.6832164734865,1144.1281419649956,"['13188', '13189', '15253']",False,False,False,False,False,False,False,1877,708,10,829,786,499,287,1629,597,467,122,6,75,30301,3,24,1863,1707,1289.0,1.0,0.3771976558337773,0.0053276505061267,0.4416622269579116,1.0,0.6348600508905853,0.3651399491094148,1.0,0.3664825046040516,0.2866789441375076,0.0748925721301412,0.0147329650092081,1.0,0.9162640901771336,0.6867341502397443,419,0.2572130141190915,156,0.0837359098228663,"{""'10455800'""}"
26,48,13273,13273,16th Ave & Lawton St,37.7593,-122.4737,,,https://www.sfmta.com/13273,,,,0,,POINT (-122.4737 37.7593),1744.8689183823512,1801.9531204015127,3114.2839889058296,524.2924405665431,462.89327535125625,3526.681844642422,638.5056369426585,"['13273', '13272', '17231', '14861', '14860']",False,False,False,False,False,False,False,873,345,0,463,327,256,71,739,364,88,73,6,75,30301,1,28,873,791,523.0,1.0,0.3951890034364261,0.0,0.5303550973654066,1.0,0.7828746177370031,0.2171253822629969,1.0,0.4925575101488498,0.1190798376184032,0.0987821380243572,0.0378890392422192,1.0,0.9060710194730812,0.5990836197021764,186,0.2516914749661705,82,0.0939289805269186,"{""'10455800'""}"
27,50,13275,13275,16th Ave & Lomita Ave,37.75697,-122.47351,,,https://www.sfmta.com/13275,,,,0,,POINT (-122.47351 37.75697),1948.3896227744167,1630.8118109855243,2933.2920277911035,438.1840917596936,672.6991497901939,3337.517567993114,863.276312942786,"['13272', '13275', '13276', '13277', '17231', '15739']",False,False,False,False,False,False,False,873,345,0,463,327,256,71,739,364,88,73,6,75,30301,1,28,873,791,523.0,1.0,0.3951890034364261,0.0,0.5303550973654066,1.0,0.7828746177370031,0.2171253822629969,1.0,0.4925575101488498,0.1190798376184032,0.0987821380243572,0.0378890392422192,1.0,0.9060710194730812,0.5990836197021764,186,0.2516914749661705,82,0.0939289805269186,"{""'10455800'""}"
28,55,13279,13279,16th Ave & Ortega St,37.7524,-122.47309,,,https://www.sfmta.com/13279,,,,0,,POINT (-122.47309 37.7524),2138.558227463356,1272.868064176732,2533.7082104011847,492.1247267490988,996.7656974831784,2912.394907082293,1343.2066064159849,"['13263', '13279']",False,False,False,False,False,False,False,1363,522,37,453,438,307,131,1061,487,125,134,6,75,30302,3,4,1363,1159,814.0,1.0,0.3829787234042553,0.0271460014673514,0.3323550990462215,1.0,0.7009132420091324,0.2990867579908676,1.0,0.4590009425070688,0.117813383600377,0.1262959472196041,0.003770028275212,1.0,0.8503301540719003,0.5972120322817315,337,0.3176248821866164,204,0.1496698459280998,"{""'10455800'""}"
29,57,17764,17764,16th St & 4th St,37.766765,-122.390719,,,https://www.sfmta.com/17764,,,,0,,POINT (-122.390719 37.766765),250.0853771340905,825.1086530820576,1285.8734160234346,501.2901287662234,768.4134381164923,2667.6067853776544,144.6745020193972,"['17764', '17866', '17767']",True,False,False,False,False,False,True,1397,875,26,354,712,168,544,1104,389,344,37,6,75,22600,2,93,1397,1377,617.0,1.0,0.6263421617752326,0.0186113099498926,0.2534001431639227,1.0,0.2359550561797752,0.7640449438202247,1.0,0.3523550724637681,0.3115942028985507,0.0335144927536231,0.0842391304347826,1.0,0.9856836077308518,0.4416607015032212,241,0.2182971014492753,20,0.0143163922691481,"{""'10455800'""}"
30,58,13282,13282,16th St & Bryant St,37.765595,-122.410408,,,https://www.sfmta.com/13282,,,,0,,POINT (-122.410408 37.765595),2277.1810598517864,262.64633866094726,1707.037108183286,310.05413642699006,974.5599387858084,2634.093234407102,124.33443475778628,"['13282', '13281', '13730', '13731', '13732', '13733']",False,True,False,True,False,False,True,372,201,5,86,194,81,113,353,149,91,16,6,75,17700,1,33,372,344,141.0,1.0,0.5403225806451613,0.0134408602150537,0.2311827956989247,1.0,0.4175257731958763,0.5824742268041238,1.0,0.4220963172804532,0.2577903682719547,0.0453257790368272,0.093484419263456,1.0,0.9247311827956988,0.3790322580645161,64,0.1813031161473088,28,0.075268817204301,"{""'10455800'""}"
31,60,13283,13283,16th St & Church St,37.764579,-122.428523,,,https://www.sfmta.com/13283,,,,0,,POINT (-122.428523 37.764579),2493.0018190444266,489.9742429666935,1841.3537979522448,342.4607209181659,296.5595748061983,3576.8474325944944,472.6958327074699,"['13283', '13984', '13985']",False,False,False,True,True,False,False,1333,858,3,242,848,290,558,1267,597,335,68,6,75,20300,1,46,1333,1191,658.0,1.0,0.6436609152288072,0.0022505626406601,0.1815453863465866,1.0,0.3419811320754717,0.6580188679245284,1.0,0.4711917916337806,0.2644041041831097,0.053670086819258,0.0363062352012628,1.0,0.8934733683420856,0.4936234058514628,221,0.1744277821625887,142,0.1065266316579144,"{""'10455800'""}"
32,61,13284,13284,16th St & Dolores St,37.764763,-122.426171,,,https://www.sfmta.com/13284,,,,0,,POINT (-122.426171 37.764763),2643.147476752791,453.140867976067,1994.7247614693688,291.9188248716691,47.778859062730575,3398.652430284779,506.7328111044896,"['13284', '13285']",False,False,False,True,True,False,False,1259,619,63,252,812,240,572,1165,475,138,169,6,75,20201,1,17,1259,964,480.0,1.0,0.4916600476568705,0.0500397140587768,0.2001588562351072,1.0,0.2955665024630542,0.7044334975369458,1.0,0.407725321888412,0.1184549356223176,0.1450643776824034,0.0145922746781115,1.0,0.7656870532168387,0.3812549642573471,366,0.3141630901287554,295,0.2343129467831612,"{""'10455800'""}"
33,63,17289,17289,16th St & Folsom St,37.7654,-122.415428,,,https://www.sfmta.com/17289,,,,0,,POINT (-122.415428 37.7654),2827.505554561814,322.7198295548104,2257.505837782391,162.18300630258364,468.1457495016281,2756.718880510707,610.2528481300544,"['17289', '13299', '14669', '14668']",False,True,False,True,False,False,False,1617,674,20,319,589,89,500,1279,486,181,30,6,75,17700,2,67,1603,1199,598.0,1.0,0.4168212739641311,0.0123685837971552,0.1972789115646258,1.0,0.1511035653650254,0.8488964346349746,1.0,0.3799843627834245,0.1415168100078186,0.0234558248631743,0.052384675527756,1.0,0.7479725514660013,0.3698206555349412,550,0.4300234558248632,404,0.2520274485339988,"{""'10455800'""}"
