,stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,wheelchair_boarding,geometry,routes
307,00905,,27540 DETROIT RD,,41.466723,-81.926567,,,0,,0,POINT (-81.926567 41.466723),
308,00908,,DETROIT RD & REMINGTON DR,,41.466144,-81.929373,,,0,,0,POINT (-81.929373 41.466144),
309,00910,,TUNGSTEN RD LOOP,,41.597887,-81.492932,,,0,,0,POINT (-81.492932 41.597887),
310,00917,,27875 OSBORN RD,,41.482163,-81.927515,,,0,,0,POINT (-81.927515 41.482163),
311,00918,,27878 OSBORN RD,,41.482259,-81.927289,,,0,,0,POINT (-81.927289 41.482259),
312,00928,,28080 CENTER RIDGE RD,,41.443689,-81.933375,,,0,,0,POINT (-81.933375 41.443689),
313,00934,,28300 CENTER RIDGE RD,,41.441955,-81.935125,,,0,,0,POINT (-81.935125 41.441955),
314,00936,,28239 DETROIT RD,,41.46561,-81.934869,,,0,,0,POINT (-81.934869 41.46561),
315,00937,,28303 DETROIT RD,,41.465479,-81.935789,,,0,,0,POINT (-81.935789 41.465479),
316,00941,,CENTER RIDGE & CHASE DR,,41.440162,-81.936823,,,0,,0,POINT (-81.936823 41.440162),
317,00942,,28420 LAKESHORE BLVD,,41.627348,-81.487244,,,0,,0,POINT (-81.487244 41.627348),
318,00944,,CENTER RIDGE RD & WESTLAKE VILLAGE DR,,41.439001,-81.937932,,,0,,0,POINT (-81.937932 41.439001),
319,00948,,CENTER RIDGE & HEALTH CAMPUS DR,,41.435962,-81.940657,,,0,,0,POINT (-81.940657 41.435962),
320,00949,,DETROIT RD & SETTLERS RESERVE WAY,,41.465198,-81.938739,,,0,,0,POINT (-81.938739 41.465198),
321,00956,,2880 WOODHILL RD,,41.480509,-81.619127,,,0,,0,POINT (-81.619127 41.480509),
322,00962,,E 79TH ST BLUE-GREEN LINE STATION,,41.480647,-81.632967,,,0,,0,POINT (-81.632967 41.480647),
323,00964,,29017 OSBORN RD,,41.482223,-81.940665,,,0,,0,POINT (-81.940665 41.482223),
324,00971,,29214 OSBORN RD,,41.482313,-81.942975,,,0,,0,POINT (-81.942975 41.482313),
325,00997,,29825 CHAGRIN BLVD,,41.462322,-81.467918,,,0,,0,POINT (-81.467918 41.462322),
326,00998,,29825 CHAGRIN BLVD,,41.462406,-81.468153,,,0,,0,POINT (-81.468153 41.462406),
327,00999,,WOODHILL RD & PARKVIEW AV,,41.476971,-81.620834,,,0,,0,POINT (-81.620834 41.476971),"('86',)"
328,01015,,CLARK AV & W 30TH ST,,41.469928,-81.701976,,,0,,0,POINT (-81.701976 41.469928),
329,01016,,WOODHILL RD & PARKVIEW AV,,41.477197,-81.620867,,,0,,0,POINT (-81.620867 41.477197),
330,01029,,30503 WOLF RD,,41.485261,-81.956736,,,0,,0,POINT (-81.956736 41.485261),
331,01030,,30510 WOLF RD,,41.485304,-81.956447,,,0,,0,POINT (-81.956447 41.485304),
332,01072,,3201 HARVARD AV,,41.447162,-81.666145,,,0,,0,POINT (-81.666145 41.447162),
333,01085,,325 UNION ST,,41.380714,-81.52486,,,0,,0,POINT (-81.52486 41.380714),"('86',)"
334,01087,,W 25TH ST & MEYER AV,,41.465257,-81.70011,,,0,,0,POINT (-81.70011 41.465257),
335,01095,,3290 WARRENSVILLE CENTER RD,,41.470062,-81.536451,,,0,,0,POINT (-81.536451 41.470062),"('86',)"
336,01100,,3360 W 210TH ST,,41.460226,-81.852801,,,0,,0,POINT (-81.852801 41.460226),"('86',)"
337,01101,,3300 W 98TH ST,,41.464014,-81.751147,,,0,,0,POINT (-81.751147 41.464014),
338,01104,,3289 W 98TH ST,,41.464351,-81.751071,,,0,,0,POINT (-81.751071 41.464351),
339,01110,,BROOKPARK RD & W 33RD ST,,41.418912,-81.707055,,,0,,0,POINT (-81.707055 41.418912),
340,01111,,SOM CENTER RD & AURORA RD,,41.385117,-81.437811,,,0,,0,POINT (-81.437811 41.385117),
341,01112,,BAINBRIDGE RD & SOM CENTER RD,,41.388324,-81.437892,,,0,,0,POINT (-81.437892 41.388324),
342,01113,,SOLON RD & STATION ST,,41.389212,-81.442711,,,0,,0,POINT (-81.442711 41.389212),
